	工资性收入	家庭经营纯收入	财产性收入	转移性收入
北京	3429.68	1371.27	341.27	256.25
天津	2060.23	2000.18	72.65	145.65
河北	1043.67	1506.11	77.51	57.87
山西	866.47	1210.33	15.23	57.79
内蒙古	320.03	1694.4	20.57	51.02
辽宁	1020.62	1618.68	42.64	69.39
吉林	388.99	1867.95	0.39	43.66
黑龙江	376.55	1861.11	95.56	72.03
上海	4920.43	764.52	206.96	331.64
江苏	1993.74	1781.4	61.17	143.48
浙江	2437.42	2075.34	192.09	235.51
安徽	707.68	1304.8	31.16	73.92
福建	1246.01	1926.18	79.42	287.22
江西	927.35	1302.62	20.65	55.83
山东	1056.7	1728.52	46.09	116.34
河南	567.07	1548.79	32.45	67.43
湖北	662.19	1694.4	14.09	73.38
湖南	914.31	1376.71	29.02	77.88
广东	1714.11	1869.56	139.71	188.52
广西	686.57	1236.26	9.11	80.66
海南	304.81	1952.16	30.63	135.61
重庆	783.12	1164.79	17.17	132.5
四川	711.38	1296.53	27.02	72.71
贵州	386.86	988.92	29.55	84.58
云南	286.17	1193.26	60.43	68.79
西藏	205.61	1062.52	60.97	133.17
陕西	550.51	915.31	39.57	90.85
甘肃	447.41	1056.87	17.27	68.76
青海	401.51	1161.88	39.04	66.52
宁夏	526.68	1265.29	57.33	68.05
新疆	142.1	1664.01	31.73	25.42
