	X1	X2	X3	X4	X5	X6	X7	X8
北京	3229.28	821.72	847.39	677.66	768.34	1429.15	587.98	561.19
天津	2588.1	531.97	806.36	435.38	585.94	897.02	808.05	334.4
河北	1583.68	530.02	399.04	420.15	390.24	498.06	461.18	197.39
山西	1412.95	518.1	316.99	347.49	317.83	567.85	391.06	250.74
内蒙古	1423.22	594.69	292.42	268.88	390.18	548.21	403.69	274.33
辽宁	1846.11	592.01	272.75	378.31	347.47	575.06	412.09	230.62
吉林	1650.95	547.04	257.73	325.37	344.97	528.61	453.85	228.7
黑龙江	1561	531.98	259.61	353.48	318.34	534.22	432.09	201.64
上海	4021.77	577.39	642.08	557.96	875.35	1359.75	732.44	569.37
江苏	2194.04	525.88	603.36	297.46	483.77	691.5	438.16	298.58
浙江	2888.28	669.03	926.68	532.69	689	1065.1	724.46	457.15
安徽	1998.95	466.55	327.36	205.13	333.39	585.44	407.13	193.7
福建	2651.11	506.94	488.37	283.24	559.69	598.95	639.83	287
江西	1587.55	353.44	292.1	149.98	310.94	488.24	527.16	185.11
山东	1801.34	700.29	522.36	327.49	411.29	777.79	441.46	270.38
河南	1424.9	484.16	333.24	298.74	299.89	427.88	650.25	191.1
湖北	1799.38	582.66	347.84	241.87	336.19	698.89	586.33	211.63
湖南	1943.55	551.47	460.15	328.63	474.69	826.89	662.4	298.45
广东	3089.63	382.98	556.14	392.41	1075.32	961.79	1126.74	514.61
广西	1968.02	363.16	480.73	253.23	457.24	704.58	740.06	257.72
海南	2022.19	208.83	282.49	243.85	349.44	525.92	460.06	275.06
重庆	2337.65	589.28	509.82	334.05	442.5	850.15	563.72	246.51
四川	2082.18	489.78	460.55	300.26	381.47	674.8	530.25	256.88
贵州	1748.83	486.2	361.88	249.39	371.68	522.74	333.73	199.45
云南	2105.66	535.41	306.73	369.63	467.6	595.92	508.82	362.84
西藏	2626.99	1001.52	258.21	220.06	628.39	494.99	369.1	395.13
陕西	1589.44	443.74	529.68	361.18	366.3	642.45	452.73	252.22
甘肃	1639.17	537.94	367.32	361.4	320.88	592.72	322.94	277.94
青海	1790.27	532.51	350.85	374.4	361.9	594.03	295.48	399.14
宁夏	1562.57	572.03	469.18	409.96	437.72	542.39	323.16	278.39
新疆	1716.8	690.14	440.37	302.82	406.72	626.58	474.61	273.37
